,count,mean,std,min,25%,50%,75%,max
online_cer,100.0,0.083449,0.11038248424126323,0.0,0.0,0.0476,0.12125,0.7143
online_wer,100.0,0.16259600000000002,0.17931060232192214,0.0,0.0,0.12915,0.25,1.0
teacher_cer,100.0,0.048124,0.07674077198496562,0.0,0.0,0.0,0.077675,0.3
teacher_wer,100.0,0.07296000000000001,0.11119995639850899,0.0,0.0,0.0,0.1111,0.5
aq,100.0,0.9270859999999999,0.09662011315801004,0.4979,0.9014,0.9561999999999999,1.0,1.0
snr_db,100.0,30.449099999999998,20.939567258174076,-3.61,19.16,23.799999999999997,34.385000000000005,104.01
speech_ratio,100.0,0.8180449999999999,0.13721755959648954,0.1588,0.783625,0.8490500000000001,0.898175,0.9905
clip_ratio,100.0,2e-06,1.4070529413628971e-05,0.0,0.0,0.0,0.0,0.0001
hyp_online_tq,100.0,0.583784,0.16765770126039303,0.143,0.4878,0.587,0.698075,0.9854
hyp_teacher_tq,100.0,0.7264649999999997,0.12400049395062909,0.3768,0.64815,0.74095,0.8218,0.9854
ref_tq,100.0,0.7265070000000001,0.12972898654697435,0.3768,0.6458499999999999,0.74095,0.8257,0.9854
hyp_online_lm_logprob,100.0,-4.49729,1.0059530762496636,-7.1419,-5.072975,-4.478,-3.8115750000000004,-2.0873
hyp_teacher_lm_logprob,100.0,-3.6412219999999995,0.7440235691362896,-5.739,-4.111375,-3.5544000000000002,-3.069225,-2.0873
ref_lm_logprob,100.0,-3.640996999999999,0.7783952524140985,-5.739,-4.125175,-3.5544000000000002,-3.0460249999999998,-2.0873
agreement_cer,100.0,0.12531478790360107,0.11335229499871143,0.0,0.040865384615384616,0.1111111111111111,0.17670454545454545,0.5
agreement_wer,100.0,0.2164618934986582,0.17794716775805902,0.0,0.07692307692307693,0.19090909090909092,0.3333333333333333,0.9
